trade_date,open,high,low,close,volume_lots,open_interest,prev_close,value_lakh,symbol,expiry_date,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_middle,BB_width,BB_pct,high_low,high_close,low_close,true_range,ATR,pct_return,candle_body,upper_wick,lower_wick,daily_range,daily_range_pct,price_in_range,momentum_5,momentum_10,price_vs_sma20,price_vs_sma50,volume_MA_20,volume_MA_50,volume_change,volume_change_MA,volume_spike_ratio,is_volume_spike,volume_momentum,OI_change,OI_change_pct,OI_MA_20,OI_momentum,price_oi_bullish,rsi_oversold,rsi_overbought,vol_spike,oi_increasing,price_near_bb_lower,macd_bullish,strong_entry_signal,high_next_n,close_next_n,return_next_n_pct,target
2020-01-01,68173.0,68440.0,67485.0,68000.0,15559,19471,68000.0,317403.6,SILVER,2020-02-05,,,,,68000.0,68000.0,,0.0,0.0,0.0,,,,,,955.0,,,955.0,,,173.0,267.0,515.0,955.0,1.4044117647058822,0.5392670157068062,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,,69930.0,2.8382352941176467,1
2020-01-02,68501.0,68548.0,68248.0,68412.0,25157,16163,68000.0,516312.21,SILVER,2020-02-05,,,,,68063.38461538462,68030.51851851853,,32.866096866098815,6.5732193732197635,26.29287749287905,,,,,,300.0,548.0,248.0,548.0,,0.6058823529411672,89.0,47.0,164.0,300.0,0.43851955797228553,0.5466666666666666,,,,,,,61.68776913683398,,,0,25157,-3308.0,-16.989368804889327,,,0,0,0,0,0,0,1,0,,69757.0,1.966029351575747,1
2020-01-03,68163.0,68860.0,67792.0,68319.0,11618,73087,68412.0,238119.04,SILVER,2020-02-05,,,,,68102.7100591716,68051.88751714678,,50.822542024819995,15.423083903539812,35.39945812128018,,,,,,1068.0,448.0,620.0,1068.0,,-0.13594106297141195,156.0,541.0,371.0,1068.0,1.5632547314802618,0.4934456928838951,,,,,,,-53.81802281671105,,,0,0,56924.0,352.1870939800779,,,0,0,0,0,1,0,0,0,,71070.0,4.026698283054494,1
2020-01-06,68826.0,69292.0,68664.0,68853.0,11780,72071,68319.0,243326.5,SILVER,2020-02-05,,,,,68218.13928083751,68111.22918254332,,106.91009829418908,33.72048678166967,73.1896115125194,,,,,,628.0,973.0,345.0,973.0,,0.7816273657401229,27.0,439.0,162.0,628.0,0.9120880716889604,0.30095541401273884,,,,,,,1.3943880185918411,,,0,11780,-1016.0,-1.3901240986769148,,,0,0,0,0,0,0,0,0,,71726.0,4.172657691022904,1
2020-01-07,70103.0,70943.0,69511.0,70104.0,32050,26065,68853.0,674049.96,SILVER,2020-02-05,,,,,68508.2716991702,68258.84183568826,,249.42986348194245,76.86236212172423,172.56750136021822,,,,,,1432.0,2090.0,658.0,2090.0,,1.8169142956733886,1.0,839.0,592.0,1432.0,2.042679447677736,0.41410614525139666,,,,,,,172.07130730050935,,,0,32050,-46006.0,-63.8342745348337,,,0,0,0,0,0,0,0,0,,71352.0,1.780212256076686,1
2020-01-08,70014.0,70345.0,69436.0,69930.0,13015,58348,70104.0,273041.68,SILVER,2020-02-05,,,,,68726.9991300671,68382.63132934098,,344.36780072611873,130.36344984260313,214.0043508835156,,,,,,909.0,241.0,668.0,909.0,,-0.24820267031838705,84.0,331.0,494.0,909.0,1.2998712998712998,0.5434543454345434,1930.0,,,,,,-59.39157566302652,,,0,0,32283.0,123.855745252254,,7775.4,0,0,0,0,1,0,0,0,,71822.0,2.7055627055627056,1
2020-01-09,69850.0,70105.0,69340.0,69757.0,8130,29154,69930.0,170137.32,SILVER,2020-02-05,,,,,68885.46080236447,68484.43641605646,,401.02438630801043,184.4956371356846,216.52874917232583,,,,,,765.0,175.0,590.0,765.0,,-0.2473902473902445,93.0,255.0,417.0,765.0,1.0966641340653984,0.5450980392156862,1345.0,,,,,,-37.533615059546676,,,0,0,-29194.0,-50.03427709604442,,2598.2,0,0,0,0,0,0,0,0,,71453.0,2.43129721748355,1
2020-01-10,70966.0,71814.0,70686.0,71070.0,33083,30229,69757.0,705362.64,SILVER,2020-02-05,,,,,69221.54375584685,68675.95964449672,,545.5841113501374,256.7133319785752,288.8707793715622,,,,,,1128.0,2057.0,929.0,2057.0,,1.882248376507012,104.0,744.0,280.0,1128.0,1.587167581257915,0.3404255319148936,2751.0,,,,,,306.9249692496925,,,0,33083,1075.0,3.687315634218291,,-8571.6,1,0,0,0,1,0,0,0,,71083.0,0.018291824961305755,0
2020-01-13,71738.0,72375.0,71186.0,71726.0,21480,62587,71070.0,462202.34,SILVER,2020-02-05,,,,,69606.8447164858,68901.88855971918,,704.9561567666096,346.3618969361821,358.5942598304275,,,,,,1189.0,1305.0,116.0,1305.0,,0.9230336288166496,12.0,637.0,540.0,1189.0,1.6576973482419206,0.4541631623212784,2873.0,,,,,,-35.07239367651059,,,0,21480,32358.0,107.0429058189156,,-1896.8,1,0,0,0,1,0,0,0,,71301.0,-0.5925326938627555,0
2020-01-14,71417.0,71932.0,70702.0,71352.0,16528,59713,71726.0,353791.76,SILVER,2020-02-05,69752.3,,,,69875.33014471876,69083.37829603627,,791.9518486824818,435.4798872854421,356.4719613970397,,,,,,1230.0,206.0,1024.0,1230.0,,-0.5214287705992193,65.0,515.0,650.0,1230.0,1.7238479650184997,0.5284552845528455,1248.0,,,,,,-23.05400372439479,,,0,0,-2874.0,-4.592007924968444,,6729.6,0,0,0,0,0,0,0,0,72375.0,69746.0,-2.250812871398139,0
